date,symptom,n
2019-01-05,s19,0
2019-01-05,s20,7
2019-01-05,s21,3753
2019-01-05,s22,403
2019-01-05,s23,342
2019-01-05,s24,225
2019-01-05,s25,0
2019-01-05,s26,0
2019-01-05,s27,0
2019-01-05,s28,277
2019-01-05,s29,975
2019-01-05,s30,851
2019-01-05,s31,1
2019-01-05,s32,1
2019-01-05,s33,2
2019-01-05,s34,0
2019-01-05,s35,1
2019-01-05,s36,139
2019-01-05,s37,25
2019-01-05,s38,2
2019-01-05,s39,3
2019-01-05,s40,0
2019-01-05,s41,0
2019-01-05,s42,37
2019-01-05,s43,1
2019-01-05,s44,0
2019-01-05,s45,12
2019-01-05,s46,0
2019-01-05,s47,0
2019-01-05,s48,0
2019-01-05,s49,353
2019-01-05,s50,1
2019-01-05,s51,0
2019-01-05,s52,0
2019-01-05,s53,0
2019-01-05,s54,0
2019-01-05,s55,291
2019-01-05,s56,333
2019-01-06,s01,0
2019-01-06,s02,0
2019-01-06,s03,0
2019-01-06,s04,0
2019-01-06,s05,28
2019-01-06,s06,756
2019-01-06,s07,6
2019-01-06,s08,0
2019-01-06,s10,0
2019-01-06,s11,959
2019-01-06,s12,8
2019-01-06,s13,0
2019-01-06,s14,172
2019-01-06,s15,1
2019-01-06,s16,1
2019-01-06,s17,1
2019-01-06,s19,0
2019-01-06,s20,4
2019-01-06,s21,4121
2019-01-06,s22,359
2019-01-06,s23,296
2019-01-06,s24,311
2019-01-06,s25,0
2019-01-06,s26,0
2019-01-06,s27,0
2019-01-06,s28,325
2019-01-06,s29,960
2019-01-06,s30,821
2019-01-06,s31,0
2019-01-06,s32,0
2019-01-06,s33,0
2019-01-06,s34,0
2019-01-06,s35,1
2019-01-06,s36,155
2019-01-06,s37,26
2019-01-06,s38,0
2019-01-06,s39,1
2019-01-06,s40,1
2019-01-06,s41,0
2019-01-06,s42,37
2019-01-06,s43,4
2019-01-06,s44,0
2019-01-06,s45,7
2019-01-06,s46,0
2019-01-06,s47,0
2019-01-06,s48,0
2019-01-06,s49,215
2019-01-06,s50,0
2019-01-06,s51,0
2019-01-06,s52,0
2019-01-06,s53,0
2019-01-06,s54,0
2019-01-06,s55,311
2019-01-06,s56,403
2019-01-07,s01,0
2019-01-07,s02,0
2019-01-07,s03,0
2019-01-07,s04,0
2019-01-07,s05,38
2019-01-07,s06,867
2019-01-07,s07,12
2019-01-07,s08,0
2019-01-07,s10,3
2019-01-07,s11,973
2019-01-07,s12,8
2019-01-07,s13,0
2019-01-07,s14,167
2019-01-07,s15,1
2019-01-07,s16,0
2019-01-07,s17,2
2019-01-07,s19,0
2019-01-07,s20,11
2019-01-07,s21,4907
2019-01-07,s22,427
2019-01-07,s23,384
2019-01-07,s24,272
2019-01-07,s25,0
2019-01-07,s26,0
2019-01-07,s27,0
2019-01-07,s28,388
2019-01-07,s29,974
2019-01-07,s30,765
2019-01-07,s31,0
2019-01-07,s32,2
2019-01-07,s33,1
2019-01-07,s34,0
2019-01-07,s35,1
2019-01-07,s36,154
2019-01-07,s37,25
2019-01-07,s38,0
2019-01-07,s39,5
2019-01-07,s40,0
2019-01-07,s41,0
2019-01-07,s42,51
2019-01-07,s43,4
2019-01-07,s44,0
2019-01-07,s45,6
2019-01-07,s46,0
2019-01-07,s47,0
2019-01-07,s48,0
2019-01-07,s49,295
2019-01-07,s50,1
2019-01-07,s51,0
2019-01-07,s52,0
2019-01-07,s53,0
2019-01-07,s54,0
2019-01-07,s55,337
2019-01-07,s56,345
2019-01-08,s01,0
2019-01-08,s02,0
2019-01-08,s03,0
2019-01-08,s04,0
2019-01-08,s05,29
2019-01-08,s06,853
2019-01-08,s07,9
2019-01-08,s08,0
2019-01-08,s10,2
2019-01-08,s11,929
2019-01-08,s12,7
2019-01-08,s13,0
2019-01-08,s14,176
2019-01-08,s15,1
2019-01-08,s16,0
2019-01-08,s17,1
2019-01-08,s19,0
2019-01-08,s20,5
2019-01-08,s21,4622
2019-01-08,s22,374
2019-01-08,s23,356
2019-01-08,s24,324
2019-01-08,s25,0
2019-01-08,s26,0
2019-01-08,s27,0
2019-01-08,s28,375
2019-01-08,s29,929
2019-01-08,s30,781
2019-01-08,s31,0
2019-01-08,s32,2
2019-01-08,s33,1
2019-01-08,s34,0
2019-01-08,s35,2
2019-01-08,s36,158
2019-01-08,s37,30
2019-01-08,s38,0
2019-01-08,s39,2
2019-01-08,s40,0
2019-01-08,s41,0
2019-01-08,s42,36
2019-01-08,s43,6
2019-01-08,s44,0
2019-01-08,s45,5
2019-01-08,s46,0
2019-01-08,s47,0
2019-01-08,s48,0
2019-01-08,s49,291
2019-01-08,s50,0
2019-01-08,s51,0
2019-01-08,s52,0
2019-01-08,s53,0
2019-01-08,s54,0
2019-01-08,s55,345
2019-01-08,s56,344
2019-01-09,s01,0
2019-01-09,s02,0
2019-01-09,s03,1
2019-01-09,s04,0
2019-01-09,s05,37
2019-01-09,s06,869
2019-01-09,s07,4
2019-01-09,s08,1
2019-01-09,s10,4
2019-01-09,s11,1061
2019-01-09,s12,11
2019-01-09,s13,0
2019-01-09,s14,167
2019-01-09,s15,1
2019-01-09,s16,1
2019-01-09,s17,2
2019-01-09,s19,0
2019-01-09,s20,14
2019-01-09,s21,4454
2019-01-09,s22,396
2019-01-09,s23,374
2019-01-09,s24,275
2019-01-09,s25,0
2019-01-09,s26,0
2019-01-09,s27,0
