epoch,Training Loss,Test. Loss,Test. Accur.,Test. False Pos.,Test. False Neg.,Training Time,Test Time
1,0.31072958602259554,0.21954621871866817,0.9140625,0.05133928571428571,0.03459821428571429,0:01:55,0:00:04
2,0.21363097297523487,0.24495546913281682,0.921875,0.052455357142857144,0.025669642857142856,0:01:55,0:00:04
